Date,DesignCycleCount70,CycleCount,DesignCycleCount9C,MaxCapacity,CurrentCapacity,DesignCapacity
2012-08-14 14:39:00,65535,1,1000,6641,3141,6700
2012-08-14 14:40:00,65535,1,1000,6641,3120,6700
2012-08-14 14:43:29,65535,1,1000,6641,3096,6700
2012-08-14 14:44:00,65535,1,1000,6642,3085,6700
2012-08-14 14:45:00,65535,1,1000,6642,3062,6700
2012-08-14 14:46:00,65535,1,1000,6642,3041,6700
2012-08-14 14:47:00,65535,1,1000,6642,3018,6700
2012-08-14 14:48:00,65535,1,1000,6642,2995,6700
2012-08-14 14:49:00,65535,1,1000,6642,2971,6700
2012-08-14 14:50:00,65535,1,1000,6642,2948,6700
2012-08-14 14:51:00,65535,1,1000,6642,2927,6700
2012-08-14 14:52:45,65535,1,1000,6642,2906,6700
2012-08-14 14:53:00,65535,1,1000,6642,2906,6700
2012-08-14 15:13:00,65535,1,1000,6647,2816,6700
2012-08-14 15:14:00,65535,1,1000,6647,2795,6700
2012-08-14 15:15:44,65535,1,1000,6647,2775,6700
2012-08-14 15:16:00,65535,1,1000,6648,2761,6700
2012-08-14 15:17:00,65535,1,1000,6648,2787,6700
2012-08-14 15:18:00,65535,1,1000,6648,2856,6700
2012-08-14 15:19:00,65535,1,1000,6648,2917,6700
2012-08-14 15:20:00,65535,1,1000,6648,2977,6700
2012-08-14 15:21:00,65535,1,1000,6648,3040,6700
2012-08-14 15:22:00,65535,1,1000,6648,3106,6700
2012-08-14 15:23:00,65535,1,1000,6648,3167,6700
2012-08-14 15:24:00,65535,1,1000,6648,3232,6700
2012-08-14 15:25:00,65535,1,1000,6648,3291,6700
2012-08-14 15:26:00,65535,1,1000,6648,3349,6700
2012-08-14 15:27:00,65535,1,1000,6648,3404,6700
2012-08-14 15:28:00,65535,1,1000,6648,3463,6700
2012-08-14 15:29:00,65535,1,1000,6648,3520,6700
2012-08-14 15:30:00,65535,1,1000,6648,3549,6700
2012-08-14 15:31:00,65535,1,1000,6648,3606,6700
2012-08-14 15:32:00,65535,1,1000,6648,3665,6700
2012-08-14 15:33:00,65535,1,1000,6648,3722,6700
2012-08-14 15:34:00,65535,1,1000,6648,3780,6700
2012-08-14 15:35:00,65535,1,1000,6648,3836,6700
2012-08-14 15:36:00,65535,1,1000,6648,3893,6700
2012-08-14 15:37:00,65535,1,1000,6648,3952,6700
2012-08-14 15:38:00,65535,1,1000,6648,4010,6700
2012-08-14 15:39:00,65535,1,1000,6648,4067,6700
2012-08-14 15:40:00,65535,1,1000,6648,4124,6700
